grammar,type,meaning,lesson,link
"이다","copula","to be (A = B); attaches directly to a noun to mean is/am/are","1","https://www.howtostudykorean.com/?page_id=279"
"는/은","particle","topic/subject-marking particle (는 after vowels, 은 after consonants)","1","https://www.howtostudykorean.com/?page_id=279"
"를/을","particle","object-marking particle (를 after vowels, 을 after consonants)","1","https://www.howtostudykorean.com/?page_id=279"
"이/그/저","determiner","this / that (known) / that (far away) demonstrative determiners","1","https://www.howtostudykorean.com/?page_id=279"
"이것/그것/저것","pronoun","this thing / that thing / that thing (over there)","1","https://www.howtostudykorean.com/?page_id=279"
"것","noun","thing (bound/standalone noun)","1","https://www.howtostudykorean.com/?page_id=279"
"안녕하세요","expression","hello (greeting)","1","https://www.howtostudykorean.com/?page_id=279"
"이/가","particle","subject-marking particle (이 after consonants, 가 after vowels)","2","https://www.howtostudykorean.com/?page_id=281"
"에","particle","particle marking place or time (at/in/on)","2","https://www.howtostudykorean.com/?page_id=281"
"있다","verb","to have / to be at a location (existence)","2","https://www.howtostudykorean.com/?page_id=281"
"안/위/밑/옆/뒤/앞","noun","position nouns (inside/on/below/beside/behind/in front), used with 에","2","https://www.howtostudykorean.com/?page_id=281"
"의","particle","possessive particle ('s / of)","3","https://www.howtostudykorean.com/?page_id=283"
"우리/저희","pronoun","we/us/our (저희 = humble form); 의 often omitted","3","https://www.howtostudykorean.com/?page_id=283"
"아주/매우/너무","adverb","intensifier adverbs (very / very / too)","3","https://www.howtostudykorean.com/?page_id=283"
"ㄴ/은 (형용사 → 명사 수식)","adjective","adjective-to-noun modifier ending (ㄴ after vowel, 은 after consonant)","4","https://www.howtostudykorean.com/?page_id=286"
"는 (있다 형용사 수식)","adjective","modifier ending used with ~있다 adjectives (e.g. 재미있는)","4","https://www.howtostudykorean.com/?page_id=286"
"도","particle","too / also; replaces subject or object particle","4","https://www.howtostudykorean.com/?page_id=286"
"ㄴ다/는다","verb ending","plain-form present tense for verbs (ㄴ다 vowel stems, 는다 consonant stems)","5","https://www.howtostudykorean.com/?page_id=289"
"았다/었다/였다","tense","plain-form past tense (았 for ㅏ/ㅗ, 었 otherwise, 였 for 하)","5","https://www.howtostudykorean.com/?page_id=289"
"겠다","tense","plain-form future tense ending","5","https://www.howtostudykorean.com/?page_id=289"
"아/어/여","verb ending","informal low-respect (반말) present-tense conjugation","6","https://www.howtostudykorean.com/?page_id=291"
"아/어/여요","verb ending","informal high-respect (polite) present-tense conjugation","6","https://www.howtostudykorean.com/?page_id=291"
"ㅂ니다/습니다","verb ending","formal high-respect present-tense conjugation","6","https://www.howtostudykorean.com/?page_id=291"
"한테","particle","'to' (indirect object, conversational)","6","https://www.howtostudykorean.com/?page_id=291"
"께","honorific","honorific 'to' particle (for respected persons)","6","https://www.howtostudykorean.com/?page_id=291"
"ㅅ 불규칙","irregular","ㅅ-irregular: drop ㅅ before vowel-starting endings","7","https://www.howtostudykorean.com/?page_id=294"
"ㄷ 불규칙","irregular","ㄷ-irregular: ㄷ changes to ㄹ before vowel-starting endings","7","https://www.howtostudykorean.com/?page_id=294"
"ㅂ 불규칙","irregular","ㅂ-irregular: ㅂ changes to 우/오 before vowel-starting endings","7","https://www.howtostudykorean.com/?page_id=294"
"ㅡ 불규칙","irregular","ㅡ-irregular: drop ㅡ and merge with following vowel","7","https://www.howtostudykorean.com/?page_id=294"
